partner,participant,gender,no_participants
TFNC,farmers,female,7
OYSADEP,farmers,female,21
OYSADEP,farmers,female,10
FADAMA,farmers,female,28
IITA,researchers,female,0
IITA,farmers,female,7
IITA,government_EAs,female,0
FUAM,farmers,female,56
FUAM,government_EAs,female,0
FUAM,farmers,female,20
FUAM,government_EAs,female,0
FUAM,farmers,female,33
FUAM,government_EAs,female,0
FUAM,farmers,female,24
FUAM,government_EAs,female,0
FUAM,farmers,female,48
FUAM,government_EAs,female,0
FUAM,farmers,female,25
FUAM,government_EAs,female,0
OYSADEP,farmers,female,25
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,7
OYSADEP,government_EAs,female,1
JDPM,farmers,female,13
JDPM,NGO_EAs,female,0
FUAM,farmers,female,5
JDPM,farmers,female,19
JDPM,farmers,female,16
Notore,farmers,female,54
Notore,NGO_EAs,female,0
OYSADEP,farmers,female,7
OAU,farmers,female,46
FUAM,farmers,female,3
Notore,farmers,female,3
JDPM,farmers,female,8
JDPM,NGO_EAs,female,0
JDPM,farmers,female,4
JDPM,NGO_EAs,female,0
JDPM,government_staff,female,0
JDPM,farmers,female,18
JDPM,government_EAs,female,0
JDPM,NGO_EAs,female,0
JDPM,NA,female,18
OYSADEP,farmers,female,3
OYSADEP,farmers,female,15
FUAM,farmers,female,8
OYSADEP,farmers,female,15
OYSADEP,NA,female,15
OYSADEP,farmers,female,36
FUAM,farmers,female,12
FUAM,farmers,female,11
IITA,private_EAs,female,6
IITA,private_staff,female,0
IITA,government_EAs,female,0
IITA,private_EAs,female,1
IITA,government_EAs,female,2
IITA,private_EAs,female,0
IITA,private_staff,female,0
IITA,researchers,female,1
OYSADEP,farmers,female,11
OYSADEP,government_staff,female,0
FUAM,farmers,female,9
OYSADEP,farmers,female,3
FUAM,farmers,female,12
FUAM,farmers,female,7
FUAM,farmers,female,6
FUAM,farmers,female,12
SG2000,farmers,female,10
SG2000,government_EAs,female,0
FUAM,farmers,female,13
OYSADEP,farmers,female,1
OYSADEP,researchers,female,1
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,9
FUAM,farmers,female,3
OYSADEP,farmers,female,7
FUAM,farmers,female,9
OYSADEP,farmers,female,5
OYSADEP,farmers,female,14
OYSADEP,farmers,female,4
FUAM,farmers,female,10
OYSADEP,farmers,female,12
FUAM,farmers,female,20
FUAM,farmers,female,6
FUAM,farmers,female,2
FUAM,government_EAs,female,1
FUAM,farmers,female,2
FUAM,farmers,female,7
FUAM,farmers,female,12
FUAM,farmers,female,12
FUAM,farmers,female,16
FUAM,farmers,female,12
FUAM,farmers,female,3
OYSCGA,farmers,female,4
TFNC,farmers,female,4
TFNC,farmers,female,9
TFNC,farmers,female,9
TFNC,farmers,female,10
OYSADEP,farmers,female,21
OYSADEP,farmers,female,7
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,2
TFNC,farmers,female,12
TFNC,farmers,female,5
Sengerema_District_Council,farmers,female,14
TFNC,farmers,female,5
FUAM,farmers,female,31
FUAM,farmers,female,10
FUAM,farmers,female,27
FUAM,farmers,female,13
FUAM,farmers,female,19
OYSADEP,farmers,female,20
FUAM,farmers,female,13
FUAM,farmers,female,4
TFNC,farmers,female,0
Sengerema_District_Council,farmers,female,13
TFNC,farmers,female,9
TFNC,farmers,female,15
OYSCGA,farmers,female,40
OYSADEP,farmers,female,7
OYSADEP,government_EAs,female,0
Notore,farmers,female,13
Notore,farmers,female,16
SG2000,farmers,female,3
SG2000,government_EAs,female,1
FUAM,farmers,female,11
FUAM,farmers,female,16
OYSADEP,farmers,female,34
OYSADEP,government_EAs,female,2
OYSADEP,NGO_staff,female,3
OYSADEP,government_staff,female,3
OYSADEP,researchers,female,0
OYSADEP,others,female,0
OYSADEP,private_staff,female,0
Sengerema_District_Council,farmers,female,15
FUAM,farmers,female,3
FUAM,farmers,female,47
OYSADEP,farmers,female,3
FUAM,farmers,female,8
FUAM,farmers,female,5
FUAM,farmers,female,3
OYSADEP,farmers,female,0
OYSADEP,farmers,female,9
SG2000,farmers,female,4
FUAM,farmers,female,8
Psaltry,farmers,female,85
FUAM,farmers,female,21
Sengerema_District_Council,farmers,female,14
OYSADEP,farmers,female,8
FUAM,farmers,female,9
OAU,farmers,female,3
FUAM,farmers,female,1
SG2000,farmers,female,12
SG2000,farmers,female,10
Notore,farmers,female,9
OYSADEP,farmers,female,1
OYSADEP,NA,female,1
Notore,farmers,female,14
Notore,NGO_EAs,female,0
TFNC,farmers,female,12
Sengerema_District_Council,farmers,female,8
FUAM,farmers,female,16
TFNC,farmers,female,6
TFNC,others,female,2
OYSADEP,farmers,female,11
OYSADEP,farmers,female,10
OYSADEP,government_staff,female,0
SG2000,farmers,female,6
FUAM,farmers,female,11
FUAM,farmers,female,11
OYSADEP,farmers,female,15
OYSADEP,farmers,female,5
FUAM,farmers,female,7
Sengerema_District_Council,farmers,female,9
FUAM,farmers,female,0
SG2000,farmers,female,11
SG2000,private_EAs,female,0
FUAM,farmers,female,15
FUAM,NA,female,15
FUAM,farmers,female,4
FUAM,farmers,female,4
FUAM,farmers,female,6
Notore,farmers,female,9
FUAM,farmers,female,20
FUAM,farmers,female,4
Notore,farmers,female,12
Notore,government_EAs,female,1
Notore,NGO_staff,female,1
Notore,NA,female,12
Sengerema_District_Council,farmers,female,13
SG2000,farmers,female,2
FUAM,farmers,female,16
OYSADEP,farmers,female,50
OYSADEP,farmers,female,7
JDPM,farmers,female,21
JDPM,farmers,female,6
FUAM,farmers,female,10
FUAM,farmers,female,18
FUAM,farmers,female,20
FUAM,farmers,female,13
Sengerema_District_Council,farmers,female,8
FUAM,farmers,female,10
SG2000,farmers,female,13
SG2000,government_staff,female,2
SG2000,NGO_EAs,female,1
FUAM,farmers,female,24
FUAM,farmers,female,16
FUAM,farmers,female,8
FUAM,farmers,female,17
FUAM,farmers,female,23
FUAM,farmers,female,9
FUAM,farmers,female,2
FUAM,farmers,female,6
FUAM,government_EAs,female,0
Sengerema_District_Council,farmers,female,11
FUAM,farmers,female,25
Notore,farmers,female,7
FUAM,farmers,female,13
OYSADEP,farmers,female,2
OYSADEP,farmers,female,4
OYSADEP,farmers,female,3
OYSADEP,farmers,female,1
OYSADEP,NA,female,0
OYSCGA,farmers,female,12
OYSCGA,farmers,female,13
FUAM,farmers,female,25
Sengerema_District_Council,farmers,female,5
FUAM,farmers,female,8
FUAM,farmers,female,12
OYSCGA,farmers,female,0
OYSCGA,NA,female,1
OYSCGA,farmers,female,10
FUAM,farmers,female,8
FUAM,government_EAs,female,0
OYSCGA,farmers,female,2
FUAM,farmers,female,45
OYSCGA,farmers,female,5
FUAM,farmers,female,7
FUAM,government_EAs,female,0
FUAM,farmers,female,16
Sengerema_District_Council,farmers,female,9
Sengerema_District_Council,government_EAs,female,1
FUAM,farmers,female,17
FUAM,farmers,female,10
FUAM,farmers,female,15
FUAM,farmers,female,2
FUAM,farmers,female,3
FUAM,NA,female,3
OYSCGA,farmers,female,2
OYSCGA,private_EAs,female,1
OYSADEP,farmers,female,1
SG2000,farmers,female,10
FUAM,farmers,female,8
TFNC,farmers,female,32
TFNC,government_EAs,female,1
TFNC,NA,female,0
Sengerema_District_Council,farmers,female,2
TFNC,farmers,female,6
TFNC,government_EAs,female,1
TFNC,government_staff,female,1
OYSCGA,farmers,female,6
Notore,farmers,female,5
Notore,farmers,female,1
OYSCGA,farmers,female,10
OYSCGA,government_EAs,female,0
FUAM,farmers,female,51
FUAM,farmers,female,19
FUAM,farmers,female,15
FUAM,farmers,female,7
Sengerema_District_Council,farmers,female,8
FUAM,farmers,female,13
FUAM,farmers,female,18
FUAM,farmers,female,52
FUAM,farmers,female,12
OYSCGA,farmers,female,0
FUAM,farmers,female,12
FUAM,farmers,female,0
FUAM,farmers,female,12
FUAM,farmers,female,15
OAU,farmers,female,10
OAU,government_staff,female,1
ZARI,farmers,female,6
ZARI,government_EAs,female,8
ZARI,researchers,female,2
ZARI,private_staff,female,0
ZARI,others,female,4
Sengerema_District_Council,farmers,female,13
OAU,farmers,female,14
OAU,government_staff,female,1
OYSADEP,farmers,female,11
OYSADEP,NA,female,0
FUAM,farmers,female,18
Notore,farmers,female,11
OYSADEP,farmers,female,8
OYSADEP,others,female,0
OYSADEP,farmers,female,39
OYSADEP,others,female,3
OYSADEP,farmers,female,22
OYSADEP,others,female,3
OYSADEP,farmers,female,5
FUAM,farmers,female,34
OYSADEP,farmers,female,7
OYSADEP,government_staff,female,0
Sengerema_District_Council,farmers,female,7
JDPM,farmers,female,12
JDPM,farmers,female,12
Notore,farmers,female,13
Notore,farmers,female,14
Notore,NGO_EAs,female,0
Notore,farmers,female,22
FUAM,farmers,female,5
OYSADEP,farmers,female,15
Notore,farmers,female,25
Notore,government_EAs,female,0
Notore,farmers,female,25
Notore,government_EAs,female,1
FUAM,farmers,female,11
Sengerema_District_Council,farmers,female,13
Notore,farmers,female,3
Notore,farmers,female,6
SG2000,government_EAs,female,1
SG2000,farmers,female,32
SG2000,researchers,female,0
SG2000,government_staff,female,0
OYSCGA,farmers,female,4
OYSCGA,farmers,female,10
OYSADEP,farmers,female,16
OYSADEP,government_staff,female,0
FUAM,farmers,female,20
FUAM,farmers,female,4
FUAM,farmers,female,11
IITA,government_EAs,female,1
IITA,NGO_EAs,female,1
Kigoma_Region_ENABEL,farmers,female,30
IITA,government_EAs,female,0
IITA,government_staff,female,0
SG2000,farmers,female,13
SG2000,government_staff,female,0
SG2000,private_EAs,female,1
OYSADEP,farmers,female,19
OYSADEP,farmers,female,17
OAU,farmers,female,13
OYSADEP,farmers,female,9
Notore,farmers,female,9
Notore,NA,female,0
Notore,NA,female,0
Notore,NA,female,0
FUAM,farmers,female,9
SG2000,farmers,female,9
Notore,private_EAs,female,0
Kigoma_Region_ENABEL,farmers,female,18
Notore,farmers,female,13
Notore,private_staff,female,0
TFNC,farmers,female,8
TFNC,government_EAs,female,1
FUAM,farmers,female,19
FUAM,farmers,female,9
FUAM,farmers,female,11
FUAM,farmers,female,5
FUAM,farmers,female,5
FUAM,farmers,female,16
FUAM,farmers,female,6
FUAM,farmers,female,8
Kigoma_Region_ENABEL,farmers,female,8
OYSADEP,private_staff,female,21
TFNC,farmers,female,18
OYSADEP,farmers,female,21
OYSADEP,government_EAs,female,1
OYSADEP,private_staff,female,0
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,14
OYSADEP,government_EAs,female,1
OYSADEP,others,female,0
Notore,farmers,female,3
Notore,farmers,female,15
FUAM,farmers,female,8
Notore,farmers,female,5
FUAM,farmers,female,6
Notore,farmers,female,15
Kigoma_Region_ENABEL,farmers,female,7
Kigoma_Region_ENABEL,others,female,7
FUAM,farmers,female,9
Notore,farmers,female,0
CAVAII,farmers,female,46
CAVAII,others,female,20
Notore,farmers,female,22
Notore,farmers,female,12
Notore,farmers,female,13
Notore,farmers,female,19
Notore,farmers,female,4
Notore,farmers,female,0
Notore,farmers,female,5
MEDA,farmers,female,12
Notore,farmers,female,12
Notore,government_EAs,female,0
FUAM,farmers,female,18
FUAM,government_EAs,female,0
TFNC,farmers,female,5
TFNC,farmers,female,53
TFNC,government_staff,female,1
TFNC,NGO_staff,female,1
TFNC,private_staff,female,3
OYSADEP,farmers,female,8
Notore,farmers,female,8
KOLPING,farmers,female,12
KOLPING,government_EAs,female,1
KOLPING,NGO_EAs,female,1
SG2000,farmers,female,12
SG2000,government_EAs,female,1
SG2000,private_EAs,female,1
Notore,farmers,female,0
MEDA,farmers,female,17
Notore,farmers,female,10
Notore,private_staff,female,0
Notore,farmers,female,0
Notore,private_staff,female,0
Notore,farmers,female,16
Notore,farmers,female,18
Notore,farmers,female,0
Notore,farmers,female,3
CAVAII,farmers,female,7
CAVAII,private_EAs,female,0
CAVAII,private_staff,female,2
Notore,farmers,female,29
Notore,farmers,female,29
SG2000,farmers,female,22
MEDA,farmers,female,14
Notore,farmers,female,3
SG2000,farmers,female,16
SG2000,government_EAs,female,0
Notore,farmers,female,1
Notore,farmers,female,8
Notore,researchers,female,0
SAPEC_Liberia,farmers,female,40
SAPEC_Liberia,government_staff,female,40
CAVAII,farmers,female,5
CAVAII,private_EAs,female,0
SG2000,farmers,female,8
SG2000,government_EAs,female,1
Notore,farmers,female,8
Notore,private_EAs,female,0
Notore,private_staff,female,0
JDPM,farmers,female,9
JDPM,NGO_EAs,female,0
JDPM,NGO_staff,female,0
OYSADEP,farmers,female,7
FADAMA,farmers,female,21
MEDA,farmers,female,13
OYSADEP,government_staff,female,7
OYSADEP,farmers,female,6
SG2000,private_EAs,female,2
SG2000,government_EAs,female,1
Notore,farmers,female,0
CAVAII,farmers,female,1
OYSADEP,farmers,female,9
OYSADEP,government_EAs,female,0
OYSADEP,farmers,female,5
FUAM,farmers,female,5
SG2000,farmers,female,23
SG2000,government_EAs,female,1
OYSCGA,farmers,female,15
MEDA,farmers,female,9
FUAM,farmers,female,10
FUAM,NA,female,0
FUAM,NA,female,0
Notore,farmers,female,10
FUAM,farmers,female,12
OYSADEP,farmers,female,18
FUAM,farmers,female,18
SG2000,farmers,female,69
SG2000,government_EAs,female,1
SG2000,NGO_staff,female,0
SG2000,private_staff,female,0
Notore,farmers,female,15
Notore,private_staff,female,0
Notore,farmers,female,15
Notore,private_staff,female,0
CAVAII,farmers,female,0
Notore,farmers,female,16
Notore,private_staff,female,0
MEDA,farmers,female,8
Notore,farmers,female,16
Notore,private_staff,female,0
Notore,farmers,female,16
Notore,private_staff,female,0
YARA,government_EAs,female,10
Notore,farmers,female,19
Notore,farmers,female,13
Notore,private_EAs,female,0
Notore,farmers,female,11
Notore,NA,female,11
CAVAII,farmers,female,9
OYSCGA,farmers,female,76
OYSCGA,NA,female,70
SG2000,farmers,female,12
SG2000,government_EAs,female,2
SG2000,government_staff,female,0
SG2000,NGO_staff,female,0
SG2000,researchers,female,0
SG2000,others,female,0
Notore,farmers,female,10
Notore,NA,female,10
Notore,NA,female,10
MEDA,farmers,female,15
OYSCGA,farmers,female,7
OYSCGA,government_EAs,female,0
OYSCGA,farmers,female,13
SG2000,farmers,female,14
OYSADEP,farmers,female,13
OYSADEP,government_EAs,female,0
JDPM,farmers,female,31
JDPM,NGO_EAs,female,1
JDPM,NA,female,32
Notore,farmers,female,15
Notore,private_staff,female,1
OAU,farmers,female,38
OAU,others,female,0
OAU,farmers,female,1
OYSADEP,farmers,female,34
FUAM,farmers,female,4
MEDA,farmers,female,8
FUAM,farmers,female,14
FUAM,government_EAs,female,1
JDPM,government_EAs,female,0
JDPM,NGO_EAs,female,0
JDPM,NGO_staff,female,0
JDPM,others,female,24
OYSCGA,farmers,female,7
OYSCGA,farmers,female,2
FUAM,farmers,female,16
OYSCGA,farmers,female,0
SG2000,farmers,female,45
SG2000,researchers,female,0
SG2000,farmers,female,21
SG2000,government_EAs,female,2
SG2000,government_staff,female,1
FUAM,farmers,female,19
Notore,farmers,female,20
Notore,private_EAs,female,0
MEDA,farmers,female,13
SG2000,farmers,female,1
SG2000,government_EAs,female,0
OYSADEP,farmers,female,15
SG2000,farmers,female,2
SG2000,government_EAs,female,0
OYSADEP,farmers,female,36
OAU,farmers,female,5
SG2000,farmers,female,2
Notore,farmers,female,6
Notore,farmers,female,6
CAVAII,farmers,female,5
CAVAII,farmers,female,5
MEDA,farmers,female,8
JDPM,farmers,female,7
TFNC,farmers,female,8
TFNC,farmers,female,12
TFNC,farmers,female,11
TFNC,farmers,female,4
TFNC,farmers,female,3
TFNC,farmers,female,0
TFNC,farmers,female,5
TFNC,farmers,female,3
TFNC,farmers,female,9
MEDA,farmers,female,2
TFNC,farmers,female,7
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
FUAM,farmers,female,4
FUAM,others,female,0
JDPM,farmers,female,4
JDPM,NGO_EAs,female,0
OYSADEP,farmers,female,17
FUAM,farmers,female,27
FUAM,government_EAs,female,4
OYSADEP,farmers,female,3
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,8
FUAM,farmers,female,8
OYSADEP,farmers,female,30
MEDA,farmers,female,13
OYSADEP,farmers,female,6
OYSADEP,government_staff,female,0
OYSADEP,farmers,female,23
OYSADEP,farmers,female,17
JDPM,farmers,female,4
JDPM,farmers,female,4
OYSADEP,government_EAs,female,5
OYSADEP,government_staff,female,15
FUAM,farmers,female,12
OYSADEP,farmers,female,13
OYSADEP,farmers,female,19
OYSADEP,NA,female,19
OYSADEP,farmers,female,61
Notore,farmers,female,9
OYSCGA,farmers,female,20
FUAM,farmers,female,6
FUAM,farmers,female,21
FUAM,others,female,1
FUAM,farmers,female,4
SG2000,farmers,female,16
JDPM,farmers,female,5
JDPM,farmers,female,8
IITA,farmers,female,5
IITA,government_EAs,female,1
IITA,researchers,female,0
IITA,farmers,female,3
IITA,government_EAs,female,0
IITA,researchers,female,0
FADAMA,farmers,female,26
IITA,farmers,female,3
IITA,government_EAs,female,0
IITA,researchers,female,0
OAU,farmers,female,28
JDPM,farmers,female,27
CAVAII,farmers,female,6
SG2000,farmers,female,14
SG2000,government_EAs,female,2
SG2000,NGO_EAs,female,0
OAU,farmers,female,21
OAU,others,female,0
FUAM,farmers,female,13
Notore,farmers,female,14
JDPM,farmers,female,21
CAVAII,farmers,female,13
CAVAII,farmers,female,2
TFNC,farmers,female,5
TFNC,others,female,6
Notore,farmers,female,8
Notore,farmers,female,1
Notore,farmers,female,2
Notore,farmers,female,11
CAVAII,farmers,female,15
CAVAII,government_EAs,female,0
CAVAII,others,female,0
OYSADEP,farmers,female,20
OYSADEP,farmers,female,6
OYSADEP,government_EAs,female,11
OYSADEP,NA,female,214
OYSADEP,NA,female,14
JDPM,farmers,female,16
OYSADEP,farmers,female,11
OYSADEP,farmers,female,14
OYSADEP,farmers,female,8
OYSADEP,farmers,female,13
OYSADEP,farmers,female,8
OYSADEP,farmers,female,13
FUAM,farmers,female,18
FUAM,others,female,1
FUAM,government_EAs,female,4
OAU,farmers,female,20
OAU,others,female,0
FUAM,farmers,female,22
FUAM,farmers,female,23
FUAM,farmers,female,75
Psaltry,farmers,female,150
Psaltry,government_EAs,female,2
Psaltry,private_EAs,female,0
Psaltry,farmers,female,50
Psaltry,farmers,female,58
Psaltry,farmers,female,63
Psaltry,farmers,female,82
SG2000,farmers,female,17
SG2000,government_EAs,female,0
SG2000,farmers,female,45
SG2000,government_EAs,female,2
SG2000,researchers,female,0
FCI,farmers,female,17
FCI,government_EAs,female,1
FCI,others,female,0
FUAM,farmers,female,3
OYSADEP,farmers,female,23
OYSADEP,government_EAs,female,0
OYSADEP,farmers,female,6
OYSADEP,private_staff,female,1
OYSADEP,farmers,female,0
SG2000,farmers,female,33
SG2000,government_EAs,female,5
SG2000,farmers,female,14
SG2000,government_EAs,female,1
SG2000,government_staff,female,0
SG2000,farmers,female,14
SG2000,government_EAs,female,3
OYSADEP,farmers,female,12
OYSADEP,government_EAs,female,0
FCI,farmers,female,30
FCI,government_EAs,female,1
FCI,others,female,0
FCI,farmers,female,55
FCI,government_EAs,female,1
FCI,others,female,1
MEDA,farmers,female,10
Notore,farmers,female,3
Notore,farmers,female,3
Notore,farmers,female,3
FUAM,farmers,female,2
FUAM,government_EAs,female,0
Notore,farmers,female,14
Notore,farmers,female,14
OYSADEP,farmers,female,1
OYSADEP,farmers,female,27
SG2000,farmers,female,5
SG2000,government_EAs,female,1
SG2000,farmers,female,5
SG2000,government_EAs,female,1
FCI,farmers,female,95
FCI,government_EAs,female,0
FCI,others,female,1
FCI,farmers,female,27
FCI,government_EAs,female,0
FCI,others,female,1
OYSADEP,government_staff,female,17
OYSADEP,government_EAs,female,6
OYSADEP,farmers,female,0
SG2000,farmers,female,10
IITA,farmers,female,2
SG2000,farmers,female,3
SG2000,government_EAs,female,1
SG2000,farmers,female,4
SG2000,government_EAs,female,1
SG2000,farmers,female,1
JDPM,farmers,female,15
JDPM,NGO_EAs,female,0
JDPM,others,female,0
CAVAII,farmers,female,7
FUAM,farmers,female,1
FUAM,NA,female,1
FUAM,farmers,female,3
FUAM,government_EAs,female,0
FUAM,farmers,female,12
FUAM,researchers,female,1
FUAM,NA,female,0
FUAM,farmers,female,0
FUAM,NA,female,0
OYSADEP,farmers,female,10
FUAM,government_EAs,female,0
FUAM,NA,female,3
Notore,farmers,female,1
Notore,farmers,female,1
Notore,farmers,female,1
Notore,NGO_EAs,female,0
Notore,farmers,female,1
Notore,farmers,female,9
Notore,private_staff,female,0
Notore,farmers,female,7
Notore,farmers,female,12
Notore,NGO_EAs,female,0
Notore,farmers,female,7
SG2000,farmers,female,2
SG2000,farmers,female,4
SG2000,farmers,female,3
SG2000,farmers,female,4
OYSCGA,farmers,female,10
OYSCGA,NA,female,10
SG2000,farmers,female,1
SG2000,farmers,female,3
SG2000,farmers,female,2
FCI,farmers,female,53
FCI,government_EAs,female,1
FCI,others,female,0
FCI,farmers,female,100
FCI,government_EAs,female,0
FCI,others,female,0
FCI,farmers,female,23
FCI,government_EAs,female,1
FCI,private_staff,female,1
FCI,farmers,female,65
FCI,government_EAs,female,0
FCI,others,female,1
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
GCCE,farmers,female,42
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,2
JDPM,NGO_EAs,female,0
JDPM,farmers,female,1
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,2
JDPM,NGO_EAs,female,1
JDPM,NGO_staff,female,0
TFNC,farmers,female,13
Notore,farmers,female,1
Notore,private_staff,female,0
JDPM,farmers,female,6
JDPM,private_staff,female,1
JDPM,private_EAs,female,1
SG2000,farmers,female,13
SG2000,farmers,female,4
OYSCGA,farmers,female,1
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,others,female,2
JDPM,farmers,female,11
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,others,female,2
MEDA,farmers,female,4
JDPM,farmers,female,0
JDPM,NGO_EAs,female,1
JDPM,others,female,2
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,others,female,2
JDPM,farmers,female,0
JDPM,NGO_EAs,female,1
JDPM,others,female,2
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,farmers,female,0
JDPM,NGO_EAs,female,0
JDPM,others,female,2
Notore,farmers,female,8
Notore,private_EAs,female,0
Notore,farmers,female,21
Notore,private_EAs,female,0
MEDA,farmers,female,6
FCI,farmers,female,252
FCI,government_EAs,female,4
FCI,others,female,129
FCI,researchers,female,0
Notore,farmers,female,7
Notore,NGO_EAs,female,0
Notore,NGO_EAs,female,0
Notore,farmers,female,12
FCI,farmers,female,81
FCI,government_EAs,female,0
FCI,others,female,0
FUAM,farmers,female,3
FUAM,government_EAs,female,0
FUAM,farmers,female,7
FUAM,government_EAs,female,0
FUAM,farmers,female,2
FUAM,farmers,female,1
OYSCGA,farmers,female,15
OYSCGA,government_EAs,female,4
MEDA,farmers,female,5
Notore,farmers,female,2
TFNC,farmers,female,20
TFNC,farmers,female,23
SG2000,farmers,female,8
SG2000,government_EAs,female,0
SG2000,NA,female,8
OYSCGA,farmers,female,8
OYSCGA,government_EAs,female,7
Notore,farmers,female,14
SG2000,farmers,female,9
SG2000,NGO_EAs,female,1
Notore,farmers,female,22
Notore,private_EAs,female,0
JDPM,farmers,female,11
JDPM,NGO_EAs,female,0
MEDA,farmers,female,12
OYSADEP,farmers,female,0
OYSADEP,farmers,female,0
OYSADEP,government_EAs,female,0
IITA,NGO_EAs,female,0
IITA,government_EAs,female,0
CAVAII,farmers,female,2
CAVAII,government_EAs,female,3
CAVAII,government_staff,female,0
CAVAII,private_EAs,female,0
CAVAII,private_staff,female,1
SG2000,farmers,female,7
SG2000,government_EAs,female,0
Psaltry,farmers,female,64
Notore,farmers,female,1
Notore,private_EAs,female,3
JDPM,farmers,female,6
JDPM,NGO_EAs,female,0
Psaltry,farmers,female,150
Psaltry,private_EAs,female,3
SG2000,farmers,female,23
SG2000,researchers,female,0
MEDA,farmers,female,8
Psaltry,farmers,female,30
Psaltry,private_EAs,female,0
Psaltry,NA,female,30
Psaltry,farmers,female,47
Psaltry,private_EAs,female,0
Notore,private_EAs,female,3
Notore,NA,female,3
FCI,farmers,female,8
FCI,government_EAs,female,1
MEDA,farmers,female,0
MEDA,government_EAs,female,4
MEDA,government_staff,female,0
MEDA,NGO_staff,female,0
MEDA,NA,female,4
JDPM,farmers,female,16
JDPM,NGO_EAs,female,0
JDPM,NA,female,16
JDPM,farmers,female,7
JDPM,NGO_EAs,female,0
Notore,private_EAs,female,1
Notore,private_staff,female,0
Notore,researchers,female,0
FCI,farmers,female,27
FCI,government_EAs,female,1
FCI,others,female,0
FUAM,farmers,female,9
FUAM,government_EAs,female,0
Psaltry,farmers,female,10
SG2000,farmers,female,9
SG2000,farmers,female,8
SG2000,farmers,female,12
SG2000,government_EAs,female,1
Notore,farmers,female,13
Notore,private_staff,female,0
Psaltry,farmers,female,5
Psaltry,NA,female,0
OYSADEP,farmers,female,11
OYSADEP,government_EAs,female,0
FUAM,farmers,female,2
FUAM,researchers,female,0
CAVAII,farmers,female,4
CAVAII,private_EAs,female,0
FCI,government_EAs,female,2
FCI,others,female,3
FCI,researchers,female,0
FCI,farmers,female,38
FCI,government_EAs,female,1
MEDA,farmers,female,7
Psaltry,farmers,female,70
FCI,farmers,female,27
FCI,government_EAs,female,0
FCI,NA,female,27
FCI,NA,female,27
Psaltry,private_EAs,female,0
Psaltry,farmers,female,30
SG2000,farmers,female,5
Psaltry,farmers,female,30
Minjingu,farmers,female,80
Minjingu,government_EAs,female,0
Minjingu,NGO_EAs,female,0
Minjingu,others,female,1
Minjingu,private_staff,female,1
OYSCGA,farmers,female,16
CAVAII,farmers,female,1
FCI,government_EAs,female,6
FCI,others,female,2
FCI,NGO_staff,female,1
FCI,NA,female,9
FUAM,farmers,female,6
FUAM,government_EAs,female,0
MEDA,farmers,female,11
FUAM,farmers,female,16
FUAM,government_EAs,female,0
SG2000,farmers,female,2
Psaltry,farmers,female,20
Psaltry,private_EAs,female,1
Psaltry,private_staff,female,1
CAVAII,farmers,female,13
CAVAII,government_EAs,female,0
CAVAII,NGO_EAs,female,1
CAVAII,others,female,0
CAVAII,NA,female,0
SG2000,farmers,female,7
JDPM,farmers,female,6
JDPM,NGO_EAs,female,0
JDPM,farmers,female,15
JDPM,NGO_EAs,female,0
JDPM,farmers,female,11
JDPM,NGO_EAs,female,0
SG2000,farmers,female,8
SG2000,farmers,female,8
FADAMA,farmers,female,32
FADAMA,others,female,32
MEDA,farmers,female,6
SG2000,farmers,female,7
SG2000,farmers,female,5
SG2000,farmers,female,17
SG2000,government_EAs,female,0
TFNC,government_EAs,female,3
MEDA,government_EAs,female,2
SG2000,farmers,female,4
SG2000,farmers,female,6
FUAM,farmers,female,8
FUAM,government_EAs,female,0
FUAM,farmers,female,7
FUAM,government_EAs,female,0
TFNC,farmers,female,54
MEDA,farmers,female,11
SG2000,farmers,female,5
SG2000,government_EAs,female,0
SG2000,farmers,female,10
SG2000,government_EAs,female,0
FUAM,farmers,female,10
FUAM,government_EAs,female,0
